item_key,merchant,web_categories,l1,l2,l3,gender,primary_fop,sub_sport,gmv,apparel_rn,gender_rn,fop_rn
"lululemon_women's clothes_dresses_lululemon_lululemon align™ dress, black",lululemon,women's clothes > dresses,Apparel,Dresses,null,Women's,training,null,14139751,1,178,125
"lululemon_women's clothes_coats & jackets_lululemon_define jacket *luon, black",lululemon,women's clothes > coats & jackets,Apparel,Jackets & Outerwear,null,Women's,basketball,null,229414343,1,3,1
lululemon_women's clothes_shirts_long sleeve shirts_lululemon_swiftly tech long-sleeve shirt 2.0 *waist length,lululemon,women's clothes > shirts > long sleeve shirts,Apparel,Tops,null,Women's,soccer,null,150427042,1,4,1
"lululemon_men's clothes_underwear_lululemon_always in motion boxer 5"" *3 pack",lululemon,men's clothes > underwear,Apparel,Underwear,null,Men's,training,null,43223503,1,4,23
lululemon_shoes_lululemon_women's restfeel slide,lululemon,shoes,Footwear,null,null,Women's,walking,null,34338790,1,60,1
"macys_men_suits & tuxedos____alfani_men's slim-fit stretch solid suit pants, created for macy's",macys,men > suits & tuxedos >  >  > ,Apparel,Bottoms,null,Men's,null,null,2298455,1,1157,214
macys_mens_active_apparel_adidas_men's adidas tricot track pants,macys,mens > active > apparel,Apparel,Bottoms,Baselayer Bottoms,Men's,basketball,null,6166343,1,354,89
macys_men_pants_ralph lauren_men's cotton-blend-fleece pants,macys,men > pants,Apparel,Bottoms,Fleece Bottoms,Men's,american_football,null,20750646,1,50,1
macys_apparel & accessories_shoes_unknown product,macys,apparel & accessories > shoes,Apparel,Bottoms,Other Bottoms,Men's,basketball,null,43837146,1,16,10
macys_juniors_leggings & pants_bcx_juniors' straight-leg trouser pants,macys,juniors > leggings & pants,Apparel,Bottoms,Pants,Women's,field_hockey,null,66426249,1,6,1
macys_men_swimwear_hurley_phantom patriot 2 20 board short,macys,men > swimwear,Apparel,Bottoms,Shorts,Men's,swimming,null,26182859,1,34,2
macys_shoes_women's shoes_women's athletic & sneakers_athletic shoes_women's_nike_nike women's air max 270 shoes,macys,shoes > women's shoes > women's athletic & sneakers > athletic shoes > women's,Apparel,Bottoms,Skirts,Women's,running,null,10635778,1,150,3
"macys_women_activewear_id ideology_women's compression pocket full-length leggings, regular & petite, created for macy's",macys,women > activewear,Apparel,Bottoms,Tights,Women's,cheer_dance,null,2871513,1,1000,139
macys_women_bras & bralettes_vanity fair lingerie_full figure beauty back smoother wireless bra 71380,macys,women > bras & bralettes,Apparel,Bras,null,Women's,sportswear,null,27429011,1,28,16
macys_apparel & accessories_clothing_dresses_unknown product,macys,apparel & accessories > clothing > dresses,Apparel,Dresses,null,Women's,basketball,null,117386362,1,3,3
macys_apparel & accessories_clothing_outerwear_unknown product,macys,apparel & accessories > clothing > outerwear,Apparel,Jackets & Outerwear,null,Women's,basketball,null,241228197,1,2,2
macys_apparel & accessories_clothing_shirts & tops_unknown product,macys,apparel & accessories > clothing > shirts & tops,Apparel,Tops,null,Women's,basketball,null,536097180,1,1,1
"macys_women_all pajamas, robes & loungewear_white mark_women's velour tracksuit loungewear 2pc set",macys,"women > all pajamas, robes & loungewear",Apparel,Track Suits,null,Women's,sportswear,null,2817132,1,1031,573
macys_men_underwear & socks_unknown product,macys,men > underwear & socks,Apparel,Underwear,null,Men's,basketball,null,63169851,1,5,6
macys_shoes_sandals_born_women's ginny wedge sandal,macys,shoes > sandals,Footwear,null,null,Women's,outdoor_sandals,null,57686151,1,9,1
nike_men_apparel_basketball_nike_nike dri-fit icon men's basketball shorts,nike,men > apparel > basketball,Apparel,Bottoms,Baselayer Bottoms,Men's,basketball,null,17309153,1,182,15
nike_men_apparel_lifestyle_nike_nike sportswear club fleece joggers,nike,men > apparel > lifestyle,Apparel,Bottoms,Fleece Bottoms,Men's,training,null,177517860,1,6,1
nike_women_footwear_lifestyle_nike_nike air force 1 '07 women's shoe,nike,women > footwear > lifestyle,Apparel,Bottoms,Other Bottoms,Women's,null,null,124419736,1,5,1
nike_men_footwear_lifestyle_nike_air jordan 4 retro men's shoes,nike,men > footwear > lifestyle,Apparel,Bottoms,Pants,Men's,sportswear,null,229816887,1,2,1
nike_men_nike_nike mens sportswear shorts,nike,men,Apparel,Bottoms,Shorts,Men's,basketball,null,39833267,1,67,3
nike_women_nike_nike womens air max 97 shoes,nike,women,Apparel,Bottoms,Skirts,Women's,training,null,8452366,1,200,64
nike_men_apparel_workouts_nike_nike pro men's tights,nike,men > apparel > workouts,Apparel,Bottoms,Tights,Men's,basketball,null,8251026,1,425,76
nike_women_nike_womens nike swoosh medium-support sports bra,nike,women,Apparel,Bras,null,Women's,tennis,null,18863620,1,68,25
nike_women_footwear_lifestyle_nike_nike shox r4 women's shoes,nike,women > footwear > lifestyle,Apparel,Dresses,null,Women's,sportswear,null,6056503,1,295,35
nike_men_apparel_lifestyle_nike_nike tech men's full-zip windrunner hoodie,nike,men > apparel > lifestyle,Apparel,Jackets & Outerwear,null,Men's,training,null,26790392,1,110,17
nike_men_apparel_lifestyle_nike_mens nike sportswear t-shirt,nike,men > apparel > lifestyle,Apparel,Tops,null,Men's,swimming,null,450110048,1,1,1
